Source,Target,weight
0,280,0.6172133998483675
0,710,0.5714285714285713
0,829,0.7559289460184544
0,1419,0.668153104781061
0,1497,0.654653670707977
1,25,0.5773502691896257
1,107,0.4564354645876384
1,109,0.5103103630798288
1,146,0.4564354645876384
1,160,0.4364357804719847
1,319,0.4364357804719847
1,443,0.5477225575051661
1,508,0.5163977794943222
1,1165,0.4364357804719847
2,82,0.6299407883487119
2,111,0.5
2,182,0.5
2,249,0.5
2,733,0.5039526306789696
2,867,0.5
2,1359,0.5039526306789696
2,1559,0.5443310539518174
3,1583,0.4522670168666454
3,1852,0.4045199174779452
4,117,0.8333333333333333
4,122,0.5103103630798288
4,501,0.6172133998483676
4,783,0.4811252243246881
5,47,0.6172133998483675
5,626,0.5070925528371099
5,668,0.6172133998483675
5,982,0.5070925528371099
5,1162,0.5669467095138407
5,2171,0.5039526306789696
6,96,0.5443310539518174
6,97,0.6666666666666666
6,1397,0.5443310539518174
7,10,0.5163977794943223
7,74,0.5477225575051661
7,113,0.5163977794943223
7,202,0.5477225575051661
7,305,0.5477225575051661
7,364,0.5773502691896258
7,602,0.6123724356957945
8,1113,0.5
8,1766,0.4472135954999579
9,112,0.4714045207910317
9,972,0.4714045207910317
10,7,0.5163977794943223
10,74,0.565685424949238
10,113,0.5
10,202,0.565685424949238
10,203,0.4767312946227962
11,46,0.6324555320336759
11,53,0.6324555320336759
11,136,0.6299407883487119
11,255,0.5443310539518174
11,267,0.5555555555555555
11,340,0.5555555555555555
11,1007,0.5443310539518174
11,1164,0.5443310539518174
11,1258,0.6299407883487119
11,1318,0.6299407883487119
12,31,0.5345224838248488
12,202,0.5070925528371099
12,487,0.5039526306789696
12,508,0.5070925528371099
12,597,0.5070925528371099
12,942,0.6761234037828132
12,970,0.5345224838248488
12,1293,0.5345224838248488
12,1537,0.6761234037828132
12,1948,0.5714285714285713
12,2031,0.629940788348712
12,2462,0.5855400437691197
13,111,0.75
13,123,0.6123724356957945
13,151,0.6123724356957945
13,200,0.6666666666666666
13,210,0.6123724356957945
13,227,0.6123724356957945
13,349,0.6123724356957945
13,401,0.8944271909999159
13,1506,0.7559289460184544
13,1538,0.6708203932499369
13,1729,0.6123724356957945
13,1937,0.6708203932499369
13,2094,0.5773502691896257
14,202,0.4472135954999579
14,223,0.5443310539518174
14,358,0.6299407883487119
14,371,0.4472135954999579
14,548,0.5039526306789696
14,591,0.4472135954999579
14,759,0.4714045207910317
14,1293,0.4714045207910317
14,1444,0.4714045207910317
15,16,0.6172133998483675
15,100,0.5714285714285713
15,249,0.5669467095138407
15,805,0.6172133998483675
15,867,0.5669467095138407
15,877,0.5345224838248488
15,1382,0.5714285714285713
16,15,0.6172133998483675
16,89,0.6666666666666666
16,249,0.6123724356957945
16,446,0.6666666666666666
16,516,0.8333333333333334
16,867,0.6123724356957945
16,896,0.7302967433402214
16,1559,0.6666666666666666
16,1998,0.6172133998483675
17,465,0.408248290463863
17,1085,0.408248290463863
17,1267,0.4588314677411235
18,77,0.4522670168666454
18,104,0.502518907629606
18,497,0.502518907629606
19,20,0.5892556509887896
19,57,0.7071067811865476
19,189,0.5892556509887896
19,217,0.5892556509887896
19,256,0.5345224838248488
19,296,0.4743416490252569
19,717,0.5773502691896258
19,831,0.5000000000000001
19,912,0.5303300858899107
19,951,0.5303300858899107
19,1792,0.4743416490252569
20,19,0.5892556509887896
20,63,0.4714045207910317
20,195,0.5443310539518174
20,256,0.5039526306789696
20,831,0.4714045207910317
20,912,0.5
20,1355,0.4714045207910317
20,1422,0.5773502691896257
20,1493,0.5
20,1495,0.5
20,1605,0.5443310539518174
20,1791,0.5039526306789696
21,97,0.6030226891555273
21,630,0.6396021490668313
21,1058,0.6154574548966637
21,1182,0.5393598899705937
21,1397,0.6154574548966637
21,1790,0.6154574548966637
22,275,0.5345224838248488
22,394,0.5000000000000001
22,528,0.4743416490252569
22,626,0.4743416490252569
22,668,0.5773502691896258
22,857,0.4743416490252569
22,930,0.5000000000000001
22,1105,0.5303300858899107
22,1193,0.4743416490252569
22,1246,0.4743416490252569
22,1612,0.6324555320336759
22,1792,0.4743416490252569
23,29,0.5039526306789696
23,141,0.5
23,259,0.6324555320336759
23,1035,0.5
24,132,0.4780914437337574
24,267,0.5270462766947299
24,275,0.4780914437337574
24,603,0.4780914437337574
24,1007,0.5163977794943223
24,1421,0.5163977794943223
25,1,0.5773502691896257
25,54,0.5270462766947298
25,107,0.5270462766947298
25,160,0.5039526306789696
25,214,0.5
25,224,0.4714045207910317
25,311,0.6666666666666666
25,319,0.5039526306789696
25,341,0.5773502691896257
25,508,0.5962847939999438
25,1148,0.502518907629606
25,1165,0.5039526306789696
26,213,0.5443310539518174
26,582,0.5039526306789696
26,599,0.5962847939999438
26,628,0.5773502691896257
26,928,0.5555555555555555
27,245,0.5345224838248488
27,496,0.5714285714285713
27,873,0.5669467095138407
27,1105,0.5669467095138407
27,1493,0.5669467095138407
27,1690,0.5669467095138407
28,67,0.6741998624632421
28,537,0.5393598899705937
28,873,0.6030226891555273
28,1105,0.6030226891555273
29,141,0.5669467095138407
29,354,0.5698028822981898
29,475,0.5345224838248488
29,625,0.5698028822981898
29,1035,0.5669467095138407
29,1230,0.5455447255899809
29,1907,0.5669467095138407
30,62,0.6324555320336759
30,735,0.6666666666666666
30,873,0.6666666666666666
30,1116,0.5962847939999438
30,2039,0.5962847939999438
30,2164,0.5443310539518174
31,120,0.5892556509887896
31,484,0.5892556509887896
31,487,0.5892556509887896
31,597,0.6324555320336759
31,610,0.5773502691896258
31,620,0.7216878364870323
31,686,0.5773502691896258
31,851,0.5345224838248488
31,854,0.5345224838248488
31,957,0.5773502691896258
31,1841,0.5773502691896258
31,2181,0.5477225575051661
31,2203,0.6187184335382291
31,2376,0.566946709513841
32,487,0.5892556509887896
32,609,0.5892556509887896
32,620,0.5773502691896258
32,638,0.5345224838248488
32,957,0.5773502691896258
32,1013,0.5345224838248488
32,1083,0.5477225575051661
32,1202,0.5533985905294664
32,1292,0.5345224838248488
32,1680,0.5303300858899107
32,2203,0.5303300858899107
32,2376,0.566946709513841
33,34,0.5547001962252291
33,36,0.4447495899966608
33,105,0.4622501635210243
33,139,0.5262348115842176
33,153,0.4902903378454602
33,296,0.4961389383568338
33,411,0.4529108136578383
33,1422,0.4803844614152614
34,127,0.5892556509887896
34,128,0.5773502691896257
34,130,0.5962847939999438
34,139,0.6324555320336759
35,34,0.5039526306789696
35,130,0.5070925528371099
35,142,0.5345224838248488
35,954,0.6172133998483675
35,978,0.5070925528371099
35,1015,0.654653670707977
35,1016,0.5070925528371099
35,1452,0.6761234037828132
35,1873,0.5070925528371099
36,34,0.5345224838248488
36,50,0.6446583712203042
36,127,0.5669467095138409
36,130,0.4780914437337574
36,234,0.5345224838248488
36,496,0.6060915267313264
36,1385,0.5345224838248488
36,2132,0.4830458915396479
37,329,0.5241424183609592
37,1049,0.5241424183609592
37,1555,0.4902903378454602
38,25,0.4444444444444444
38,371,0.4472135954999579
38,508,0.4472135954999579
38,1293,0.4714045207910317
38,1399,0.6804138174397716
38,1872,0.4472135954999579
39,136,0.5345224838248488
39,234,0.4714045207910317
39,318,0.4714045207910317
39,521,0.4902903378454601
39,1507,0.4743416490252569
40,53,0.4767312946227962
40,73,0.4545454545454546
40,663,0.492365963917331
40,814,0.5393598899705937
40,1178,0.502518907629606
40,1676,0.5393598899705937
40,1942,0.502518907629606
41,156,0.5892556509887896
41,314,0.5303300858899107
41,484,0.5892556509887896
41,487,0.5892556509887896
41,617,0.5345224838248488
41,620,0.5773502691896258
41,638,0.5345224838248488
41,849,0.6324555320336759
41,854,0.5345224838248488
41,882,0.5345224838248488
41,957,0.5773502691896258
41,1861,0.5303300858899107
